Date,Open,High,Low,Close,Adj Close,Volume
2017-04-05,25.004999,25.592501,24.875000,25.007500,24.709118,74704800
2017-04-06,25.059999,25.312500,24.602501,25.190001,24.889441,63512000
2017-04-07,25.254999,25.432501,24.930000,25.082500,24.783220,42906800
2017-04-10,25.090000,25.157499,24.400000,24.442499,24.150854,75633200
2017-04-11,24.137501,24.725000,24.087500,24.530001,24.237314,61814800
2017-04-12,24.530001,24.674999,24.275000,24.327499,24.037230,41409200
2017-04-13,24.082500,24.302500,23.872499,23.872499,23.587656,50689200
2017-04-17,24.002501,24.809999,23.950001,24.807501,24.511501,49729200
2017-04-18,24.662500,24.885000,24.400000,24.822500,24.526321,37011600
2017-04-19,25.000000,25.245001,24.852501,24.920000,24.622660,38082800
2017-04-20,25.067499,25.362499,24.852501,25.315001,25.012947,40401600
2017-04-21,25.209999,25.447500,25.090000,25.420000,25.116695,34189600
2017-04-24,25.740000,25.870001,25.527500,25.737499,25.430405,37182000
2017-04-25,25.885000,26.332500,25.667500,26.184999,25.872570,38844000
2017-04-26,26.322500,26.347500,25.985001,26.004999,25.694714,32700400
2017-04-27,26.080000,26.495001,25.897499,26.410000,26.094885,31970000
2017-04-28,26.340000,26.410000,26.017500,26.075001,25.763878,34824800
2017-05-01,26.184999,26.712500,26.112499,26.660000,26.341900,30773200
2017-05-02,26.387501,26.400000,25.639999,25.870001,25.561325,62997200
2017-05-03,25.799999,26.160000,25.650000,26.062500,25.751530,33690400
2017-05-04,26.125000,26.237499,25.882500,25.962500,25.652725,20978800
2017-05-05,25.844999,26.037500,25.687500,25.965000,25.655190,22842800
2017-05-08,26.084999,26.100000,25.577499,25.692499,25.385941,36524000
2017-05-09,25.750000,26.232500,25.665001,25.735001,25.427935,84767200
2017-05-10,28.572500,30.455000,28.504999,30.322500,29.960699,212909600
2017-05-11,30.012501,32.607498,29.977501,31.625000,31.247656,193979200
2017-05-12,31.657499,32.400002,31.445000,31.972500,31.591007,96262000
2017-05-15,32.389999,33.602501,32.345001,33.577499,33.176857,108754000
2017-05-16,34.095001,34.360001,33.340000,34.202499,33.794403,112070000
2017-05-17,33.525002,33.715000,31.887501,31.930000,31.549019,127136800
2017-05-18,32.375000,33.357498,31.762501,33.267502,32.870556,115603200
2017-05-19,34.257500,34.555000,33.805000,34.000000,33.629700,101837200
2017-05-22,34.442501,34.869999,34.332500,34.724998,34.346809,83660800
2017-05-23,34.924999,34.947498,33.927502,34.257500,33.884384,68124800
2017-05-24,35.240002,35.267502,34.520000,34.642502,34.265202,81599600
2017-05-25,35.000000,35.007500,34.110001,34.564999,34.188545,60822800
2017-05-26,34.482498,36.320000,34.277500,35.459999,35.073799,77914000
2017-05-30,35.924999,36.572498,35.762501,36.217499,35.823044,98965200
2017-05-31,36.672501,36.750000,35.512501,36.087502,35.694462,88731600
2017-06-01,36.247501,36.257500,35.630001,36.090000,35.696934,50334000
2017-06-02,36.060001,36.325001,35.849998,35.910000,35.518894,48745600
2017-06-05,35.744999,37.132500,35.627499,37.002499,36.599491,81737600
2017-06-06,36.955002,37.422501,36.700001,36.834999,36.433819,75872800
2017-06-07,37.082500,37.470001,36.924999,37.279999,36.873978,61261200
2017-06-08,38.365002,40.000000,37.947498,39.985001,39.549519,116174400
2017-06-09,41.185001,42.125000,35.687500,37.400002,36.992676,369292800
2017-06-12,36.470001,37.924999,35.527500,37.492500,37.084167,169753200
2017-06-13,38.599998,38.692501,36.412498,37.849998,37.437778,167250400
2017-06-14,37.880001,38.514999,37.125000,37.930000,37.516903,118464000
2017-06-15,36.740002,38.400002,36.625000,38.092499,37.677631,96382400
2017-06-16,38.189999,38.674999,37.560001,37.904999,37.492172,92496000
2017-06-19,38.352501,39.382500,38.314999,39.330002,38.901649,77817600
2017-06-20,39.757500,40.435001,39.230000,39.272499,38.844765,109544400
2017-06-21,39.552502,39.904999,38.924999,39.867500,39.433289,68265200
2017-06-22,39.950001,40.084999,39.349998,39.592499,39.161289,46913200
2017-06-23,39.669998,39.830002,38.305000,38.457500,38.038662,108858800
2017-06-26,38.790001,39.150002,37.082500,38.037498,37.623234,106396000
2017-06-27,37.860001,37.947498,36.587502,36.645000,36.245892,99949200
2017-06-28,37.330002,37.985001,36.437500,37.937500,37.524319,99494800
2017-06-29,37.650002,37.680000,36.020000,36.669998,36.270618,106442400
2017-06-30,36.845001,36.982498,35.875000,36.139999,35.746399,73106000
2017-07-03,36.262501,36.412498,34.645000,34.832500,34.453129,70907200
2017-07-05,35.474998,36.055000,35.282501,35.762501,35.373009,82018800
2017-07-06,35.467499,36.345001,34.939999,35.869999,35.479336,74628400
