Date,Open,High,Low,Close,Adj Close,Volume
2021-04-19,91.000000,91.320000,90.279999,90.800003,84.900002,2937054
2021-04-20,85.160004,86.379997,83.620003,84.000000,84.000000,3639022
2021-04-21,84.400002,85.519997,83.260002,83.800003,83.800003,2056330
2021-04-22,84.000000,84.099998,82.900002,83.540001,83.540001,1348513
2021-04-23,83.279999,83.419998,82.559998,83.260002,83.260002,1381958
2021-04-26,83.400002,84.199997,83.220001,83.959999,83.959999,1100826
2021-04-27,83.959999,84.300003,82.879997,83.040001,83.040001,1343528
2021-04-28,83.120003,84.040001,83.120003,83.779999,83.779999,1066064
2021-04-29,84.099998,84.099998,82.220001,82.480003,82.480003,1351416
2021-04-30,84.000000,87.099998,83.959999,84.879997,84.879997,4271732
2021-05-03,85.120003,86.639999,84.879997,86.059998,86.059998,1311072
2021-05-04,86.440002,86.720001,84.419998,84.540001,84.540001,1689420
2021-05-05,85.360001,85.980003,84.860001,85.800003,85.800003,1204403
2021-05-06,86.000000,87.220001,85.959999,87.099998,87.099998,1100464
2021-05-07,87.440002,88.279999,87.239998,87.739998,87.739998,884441
2021-05-10,88.000000,88.440002,87.599998,88.099998,88.099998,845569
2021-05-11,87.279999,87.360001,86.080002,86.500000,86.500000,1139428
2021-05-12,86.500000,87.360001,86.040001,87.160004,87.160004,1047827
2021-05-14,87.839996,88.320000,87.480003,88.120003,88.120003,809772
2021-05-17,88.300003,88.559998,87.660004,87.879997,87.879997,593656
2021-05-18,88.260002,88.480003,87.300003,87.559998,87.559998,1136491
2021-05-19,86.959999,87.000000,85.220001,85.620003,85.620003,1253118
2021-05-20,86.059998,86.820000,84.900002,85.599998,85.599998,905539
2021-05-21,85.680000,86.139999,84.739998,85.779999,85.779999,1140501
2021-05-25,86.279999,86.400002,85.400002,85.820000,85.820000,1178231
2021-05-26,85.959999,86.160004,85.099998,85.739998,85.739998,784282
2021-05-27,85.639999,86.959999,85.519997,86.699997,86.699997,2639773
2021-05-28,87.000000,87.500000,86.739998,87.080002,87.080002,846309
2021-05-31,86.900002,87.180000,86.400002,86.400002,86.400002,435177
2021-06-01,86.900002,87.300003,86.519997,87.019997,87.019997,787712
2021-06-02,87.199997,87.680000,86.379997,86.559998,86.559998,768552
2021-06-03,86.699997,86.699997,85.959999,86.639999,86.639999,560445
2021-06-04,86.400002,86.639999,85.820000,86.260002,86.260002,671998
2021-06-07,86.279999,86.279999,85.419998,85.540001,85.540001,756456
2021-06-08,85.339996,85.720001,84.580002,84.860001,84.860001,1081296
2021-06-09,84.599998,84.720001,83.540001,83.879997,83.879997,1533684
2021-06-10,83.800003,84.559998,83.400002,83.800003,83.800003,876562
2021-06-11,83.620003,84.500000,83.120003,84.480003,84.480003,862541
2021-06-14,84.660004,85.139999,84.459999,84.800003,84.800003,884333
2021-06-15,85.019997,85.599998,84.839996,85.360001,85.360001,748181
2021-06-16,85.500000,86.260002,85.360001,86.160004,86.160004,1193005
2021-06-17,86.400002,87.379997,86.220001,86.360001,86.360001,1304371
2021-06-18,86.320000,86.360001,84.360001,85.120003,85.120003,3146866
2021-06-21,84.820000,85.379997,83.879997,85.139999,85.139999,908518
2021-06-22,85.360001,85.779999,85.019997,85.099998,85.099998,694349
2021-06-23,85.279999,85.800003,84.559998,84.599998,84.599998,731782
2021-06-24,84.980003,85.080002,84.459999,85.080002,85.080002,865273
